Scenario,Hs,Wave_period,Zc,Zt,h_change,d_change
WR1_2,0.5,2.524,0.44,0.38,0.18,25
WR1_3,0.587,2.638,0.44,0.38,0.18,25
WR1_7,1.125,3.342,0.44,0.38,0.18,25
WR1_8,0.783,2.895,0.44,0.38,0.18,25
WR2_2,0.5,2.524,0.51,0.42,0.12,50
WR2_3,0.587,2.638,0.51,0.42,0.12,50
WR_7,1.125,3.342,0.51,0.42,0.12,50
WR_8,0.783,2.895,0.51,0.42,0.12,50
p3_2,0.5,2.524,3.5,1,6,725
p3_3,0.587,2.638,3.5,1,6,725
p3_7,1.125,3.342,3.5,1,6,725
p3_8,0.783,2.895,3.5,1,6,725
p6_2,0.5,2.524,3.5,0.5,6,725
p6_3,0.587,2.638,3.5,0.5,6,725
p6_7,1.125,3.342,3.5,0.5,6,725
p6_8,0.783,2.895,3.5,0.5,6,725
p10_2,0.5,2.524,3.2,0.6,6,725
p10_3,0.587,2.638,3.2,0.6,6,725
p10_7,1.125,3.342,3.2,0.6,6,725
p10_8,0.783,2.895,3.2,0.6,6,725
